greek,russian,english,example,category
εναντίον σε,против,against,Κατατέθηκε αγωγή εναντίον του Δημοσίου για παράλειψη τήρησης περιβαλλοντικών κανόνων.,27 Mar
η αντίσταση,сопротивление,resistance,Η αντίσταση κατά της κατοχής αποτελεί σελίδα εθνικής περηφάνιας στη νεοελληνική ιστορία.,7 Mar
συκοφαντία,клевета,defamation,Ο δημοσιογράφος κατηγορήθηκε για συκοφαντία μετά το δημοσίευμα σχετικά με τον πολιτικό.,Ιστορία 37
γραμματισμός / εγγραμματισμός,грамотность,literacy,Ο ψηφιακός γραμματισμός αποτελεί προτεραιότητα για το νέο εκπαιδευτικό πρόγραμμα.,Part 4
μεγαλογράμματη γραφή,прописное письмо,uppercase writing,Η μεγαλογράμματη γραφή χρησιμοποιούνταν στα αρχαία ελληνικά χειρόγραφα επί αιώνες.,12 Dec
μικρογράμματη γραφή,строчное письмо,lowercase writing,Η μικρογράμματη γραφή εμφανίστηκε στο Βυζάντιο και διευκόλυνε την αντιγραφή κειμένων.,12 Dec
στον αντίποδα,на противоположном полюсе,on the other hand,"Στον αντίποδα των κυβερνητικών δηλώσεων, η αντιπολίτευση ζητά άμεσα μέτρα στήριξης.",25 Sep
τουλάχιστον,по крайней мере,at least,Χρειάζονται τουλάχιστον πέντε χρόνια για να αποδώσουν οι διαρθρωτικές μεταρρυθμίσεις.,Γ2 exam
συγκριτικά,сравнительно,comparatively,"Συγκριτικά με πέρυσι, ο τουρισμός σημείωσε αύξηση κατά δεκαπέντε τοις εκατό.",27 Jan
συγκριτικός,сравнительный,comparative,Ο συγκριτικός πίνακας δείχνει ότι η χώρα σημειώνει βελτίωση σε όλους τους δείκτες.,27 Jan
αλλεπάλληλος,последовательный / непрерывный,consecutive,Οι αλλεπάλληλες κρίσεις έφεραν την οικονομία στα όρια της αντοχής της.,27 Mar
ανέκφραστος,"безучастный, без выражения",without expression,Ο διπλωμάτης παρέμεινε ανέκφραστος κατά τη δραματική ανακοίνωση του αποτελέσματος.,30 May
ανακριβής πληροφορία,неточная информация,inaccurate information,Η ανακριβής πληροφορία που κυκλοφόρησε στα μέσα δημιούργησε πανικό στην αγορά.,Ιστορία 41
ανεξαρτήτως,независимо от,regardless,"Ανεξαρτήτως πολιτικών πεποιθήσεων, οι πολίτες συμφωνούν στην ανάγκη μεταρρυθμίσεων.",13 May
ανθίσταμαι,сопротивляться,resist,Ο λαός ανθίσταται στα μέτρα λιτότητας που επιβάλλει η κυβέρνηση εδώ και μήνες.,18 Mar — ίσταμαι verbs
αντίμαχος,противоборствующий,opposing,Οι δύο αντίμαχες πλευρές κατέληξαν τελικά σε συμφωνία μετά από μακρές διαπραγματεύσεις.,13 Feb
από μέρους + γενική,от имени,on behalf of,"Από μέρους της ελληνικής κυβέρνησης, ο υπουργός υπέγραψε τη διμερή συμφωνία.",10 Mar
δηλώνει,"заявляет, объявляет",states / declares,Ο πρωθυπουργός δηλώνει ότι η χώρα θα αντιμετωπίσει επιτυχώς τις νέες προκλήσεις.,Γ2 exam
δημόσιος διάλογος,публичный диалог,public dialogue,Ο δημόσιος διάλογος για τη μεταρρύθμιση του συνταξιοδοτικού ξεκινά τη Δευτέρα.,Ιστορία 29
διασταυρώνω πληροφορίες,перепроверять информацию,cross-check information,Κάθε δημοσιογράφος οφείλει να διασταυρώνει πληροφορίες πριν τη δημοσίευση.,Ιστορία 41
διαφορετικά στυλ επικοινωνίας,разные стили общения,different communication styles,Τα διαφορετικά στυλ επικοινωνίας μεταξύ γενεών δυσκολεύουν τον δημόσιο διάλογο.,Ιστορία 45
διαψεύδω,опровергать,to refute,Το υπουργείο διαψεύδει κατηγορηματικά τα δημοσιεύματα περί παραίτησης του υφυπουργού.,Ιστορία 37
δραματικός τίτλος,сенсационный заголовок,sensational headline,Οι δραματικοί τίτλοι των εφημερίδων δεν αντικατοπτρίζουν πάντα την πραγματικότητα.,Ιστορία 37
ειρωνεία,сарказм / насмешка,sarcasm / mockery,Η ειρωνεία του πολιτικού σχολιαστή προκάλεσε σφοδρές αντιδράσεις στα κοινωνικά δίκτυα.,Ιστορία 44
εκτενής,"обширный, подробный","extensive, detailed",Ο ρεπόρτερ δημοσίευσε εκτενές ρεπορτάζ για τη διαφθορά στον δημόσιο τομέα.,5 Dec
εκτός από το ότι...,помимо того что...,apart from the fact that,"Εκτός από το ότι αυξήθηκαν οι τιμές, μειώθηκε και η αγοραστική δύναμη.",19 May
ελλειπτικός,"неполный, эллиптический","elliptical, incomplete",Η ελλειπτική ανακοίνωση του υπουργείου άφησε πολλά ερωτήματα αναπάντητα.,22 Oct
εν τούτοις,тем не менее,however,"Η οικονομία ανακάμπτει· εν τούτοις, η ανεργία παραμένει σε υψηλά επίπεδα.",22 Aug
ενδιάμεσα,"между, посередине",in between,"Ενδιάμεσα στις δύο κρίσεις, η χώρα κατόρθωσε να σταθεροποιήσει τα δημοσιονομικά.",30 Sep
εξωγλωσσικά,экстралингвистические,extralinguistic,"Τα εξωγλωσσικά στοιχεία, όπως οι χειρονομίες, μεταφέρουν πολύτιμη πληροφορία στην επικοινωνία.",16 May
εφίστουν την προσοχή,обращают внимание,draw attention,Οι ειδικοί εφιστούν την προσοχή στους κινδύνους της κλιματικής αλλαγής.,Γ2 exam
η στήριξη,поддержка,support (noun),Η στήριξη των ευάλωτων κοινωνικών ομάδων αποτελεί βασική προτεραιότητα του κράτους.,20 Dec
Ισχυρίζομαι,"утверждаю, заявляю",I claim / I assert,Ισχυρίζομαι ότι η μονομερής αντιμετώπιση αγνοεί τις πραγματικές αιτίες του φαινομένου.,Γ2 exam
κατ' επέκταση,"по расширению, следовательно",by extension,Η τιμή του πετρελαίου αυξήθηκε και κατ' επέκταση ακρίβυνε η θέρμανση.,22 Dec
καταφατική πρόταση,утвердительное предложение,affirmative sentence,Ο πρωθυπουργός διατύπωσε μια καταφατική πρόταση για τη συνεργασία με τις γειτονικές χώρες.,12 Dec
κατεξοχήν,"по преимуществу, прежде всего","primarily, above all",Η Αθήνα παραμένει κατεξοχήν τόπος πολιτιστικών εκδηλώσεων στη Νοτιοανατολική Ευρώπη.,22 Oct
κυριολεκτικά,буквально,literally,Η πλατεία ήταν κυριολεκτικά γεμάτη κόσμο κατά τη διάρκεια της διαδήλωσης.,6 Jan
κυριολεξία,буквальность,literalness,"Η κυριολεξία στον πολιτικό λόγο είναι σπάνια, καθώς κυριαρχούν οι μεταφορές.",6 Jan
κόντρα,конфликт / против,"conflict, against",Η κόντρα μεταξύ κυβέρνησης και αντιπολίτευσης κλιμακώθηκε μετά τη συνεδρίαση.,21 Nov
λόγος μίσους,язык ненависти,hate speech,Η ΕΕ ενισχύει τη νομοθεσία κατά του λόγου μίσους στο διαδίκτυο.,Ιστορία 44
μεταξύ / ανάμεσα,между,between,"Μεταξύ των χωρών της ΕΕ, η Ελλάδα σημείωσε τη μεγαλύτερη τουριστική αύξηση.",21 Nov
μετατάσσω / μετάταξη,переводить / перевод,to transfer,Η μετάταξη υπαλλήλων σε άλλες υπηρεσίες θα ολοκληρωθεί εντός του μήνα.,17 Mar
μη λεκτικός,невербальный,nonverbal,Η μη λεκτική επικοινωνία παίζει καθοριστικό ρόλο στις διπλωματικές συναντήσεις.,14 May
μιλάω / ομιλητής / ομιλία,говорю / оратор / речь,to speak / speaker / speech,Ο κεντρικός ομιλητής του συνεδρίου εξέφρασε αισιοδοξία για την πορεία της οικονομίας.,20 Dec
μολονότι,"хотя, несмотря на то что",although,"Μολονότι οι δείκτες βελτιώνονται, η ανεργία παραμένει πρόβλημα για τους νέους.",Γ2 exam
ο σύνδεσμος,ссылка / союз,link,Ο χρονικός σύνδεσμος «αφού» εισάγει αιτιολογική ή χρονική σχέση μεταξύ προτάσεων.,12 Dec
οι λέξεις έχουν βάρος,слова имеют вес,words have weight,"Στην πολιτική, οι λέξεις έχουν βάρος και μπορούν να αλλάξουν ισορροπίες.",Ιστορία 44
ούτω καθεξής,и так далее,and so on,"Δήμοι, περιφέρειες, φορείς και ούτω καθεξής καλούνται να συμμετάσχουν στον σχεδιασμό.",25 Sep
πέρα από,"помимо, за пределами",beyond,"Πέρα από τα οικονομικά μέτρα, χρειάζονται και κοινωνικές παρεμβάσεις για τους πολίτες.",14 May
παρά + αιτιατική,несмотря на,despite,"Η σύνταξη «παρά + αιτιατική» εκφράζει αντίθεση, π.χ. «παρά τις δυσκολίες, συνεχίζουμε».",12 Dec
παρότι,"хотя, несмотря на то что",although,"Παρότι τα δημοσιονομικά μεγέθη βελτιώνονται, η αγοραστική δύναμη συνεχίζει να συρρικνώνεται.",Γ2 exam
πηγή πληροφόρησης,источник информации,information source,Τα κοινωνικά δίκτυα αποτελούν πλέον βασική πηγή πληροφόρησης για τους νέους.,Part 4
πληθυντικός,множественное число,plural,Ο πληθυντικός ευγενείας χρησιμοποιείται ευρέως στον επίσημο δημόσιο λόγο.,20 Dec
προσφωνώ,обращаюсь (к кому-л.),to address,Ο πρόεδρος προσφώνησε τους παρευρισκομένους στην τελετή έναρξης του συνεδρίου.,21 Nov
προφορά,"произношение, акцент",accent,Η σωστή προφορά των ξένων ονομάτων αποτελεί πρόκληση για τους εκφωνητές ειδήσεων.,13 May
σπάθη,меч,sword,Οι δημοσιογράφοι χρησιμοποιούν τον λόγο ως σπάθη στη μάχη κατά της παραπληροφόρησης.,6 Jan
στο μεταξύ είχε φύγει κι εκείνος,тем временем ушёл и он,meanwhile he had also left,"Η αστυνομία έφτασε στο σημείο, αλλά στο μεταξύ είχε φύγει κι εκείνος.",5 Mar — история о взломе
συναισθηματική γλώσσα,эмоциональный язык,emotional language,Η συναισθηματική γλώσσα στα δελτία ειδήσεων επηρεάζει τη γνώμη του κοινού.,Ιστορία 37
συνομιλητής,собеседник,interlocutor,Ο συνομιλητής του δημοσιογράφου αρνήθηκε να αποκαλύψει τις πηγές του.,22 Oct
τα ευρήματα,находки,the findings,Τα ευρήματα της έρευνας δημοσιεύτηκαν σε διεθνές επιστημονικό περιοδικό.,Γ2 exam
το ομιλείν,"речь, говорение",speaking,Το ομιλείν δημοσίως αποτελεί δεξιότητα απαραίτητη για κάθε πολιτικό πρόσωπο.,Αρχαία απαρέμφατα
το συνεταιρίζεσθαι,"объединение, создание союзов",association,Το συνεταιρίζεσθαι μεταξύ μικρών επιχειρήσεων ενισχύεται μέσω νέων κινήτρων.,Αρχαία απαρέμφατα
τρέπω,обращать,to turn,Η κρίση έτρεψε χιλιάδες πολίτες σε φυγή προς τις γειτονικές χώρες.,20 Feb
τυπική επικοινωνία,формальное общение,formal communication,Η τυπική επικοινωνία μεταξύ κρατικών φορέων ακολουθεί αυστηρούς κανόνες πρωτοκόλλου.,Ιστορία 22
υπεράνω,"выше, за пределами","above, beyond",Η δικαιοσύνη οφείλει να λειτουργεί υπεράνω κομματικών σκοπιμοτήτων και πιέσεων.,6 May
υποβάλλω,подавать (заявление),submit,Οι πολίτες υποβάλλουν ηλεκτρονικά τις φορολογικές δηλώσεις μέσω της πλατφόρμας TAXISNET.,12 Dec
χωριστά,отдельно,separately,Τα δύο ζητήματα θα εξεταστούν χωριστά από τις αρμόδιες επιτροπές της Βουλής.,20 Feb
άνευ,без,without,"Η απόφαση ελήφθη άνευ ψηφοφορίας, καθώς υπήρχε ομοφωνία στο υπουργικό συμβούλιο.",18 Mar — Prepositions
άνευ + γενική,без,without,Ο ύποπτος αφέθηκε ελεύθερος άνευ περιοριστικών όρων μετά την απολογία του.,3 Mar
άνευ όρων,безоговорочно,unconditionally,Οι ανθρωπιστικές οργανώσεις ζητούν άνευ όρων πρόσβαση στις πληγείσες περιοχές.,3 Mar
έχουν αποπειραθεί,предприняли попытку,have attempted,Πολλοί έχουν αποπειραθεί να εξηγήσουν τα αίτια της δημογραφικής κρίσης χωρίς πειστικό αποτέλεσμα.,Γ2 exam
Έχουν περάσει ήδη,уже прошло (время),"already, time has passed",Έχουν περάσει ήδη δύο χρόνια από την υπογραφή της ιστορικής συμφωνίας.,14 Jan
υπερκατασκευή,надстройка,superstructure,Η πολιτιστική υπερκατασκευή της κοινωνίας αντανακλά τις οικονομικές αλλαγές της εποχής.,23 Oct — σκευή
όρια της ελευθερίας του λόγου,пределы свободы слова,limits of free speech,Η συζήτηση για τα όρια της ελευθερίας του λόγου εντάθηκε μετά τα πρόσφατα γεγονότα.,Ιστορία 44
προϋπόθεση,предпосылка / условие,prerequisite,Η διαφάνεια αποτελεί βασική προϋπόθεση για τη δημοκρατική λειτουργία του κράτους.,31 Oct
η συνεννόηση,договорённость,arrangement,Η συνεννόηση μεταξύ των κομμάτων κρίνεται αναγκαία για την ψήφιση του νόμου.,25 Sep
συνεννοούμαι,договариваться,make an arrangement,Οι δύο πλευρές δεν μπόρεσαν να συνεννοηθούν στα βασικά σημεία της συμφωνίας.,25 Sep
ουσιαστική ανθρώπινη σχέση,значимая человеческая связь,meaningful human connection,Η ψηφιακή εποχή δυσκολεύει τη δημιουργία ουσιαστικών ανθρώπινων σχέσεων στον χώρο εργασίας.,Ιστορία 19
ουσιαστικός αντίκτυπος,значимое воздействие,meaningful impact,Η μεταρρύθμιση είχε ουσιαστικό αντίκτυπο στη ζωή χιλιάδων πολιτών στη χώρα.,Ιστορία 18
ζω ουσιαστικά,жить осмысленно,live meaningfully,"Όλο και περισσότεροι νέοι αναζητούν τρόπους να ζήσουν ουσιαστικά, μακριά από τον καταναλωτισμό.",Ιστορία 43
κιόλας,уже / ещё и,already / also,Η κυβέρνηση ανακοίνωσε κιόλας νέα μέτρα ενίσχυσης της απασχόλησης για τους νέους.,17 Feb
μιλάω ταυτόχρονα,говорить одновременно,to talk over,"Όταν όλοι μιλούν ταυτόχρονα στο πάνελ, ο τηλεθεατής δεν κατανοεί τίποτα.",19 May
μιλώ από καθέδρας,говорить авторитетно,to speak with authority,"Ο υπουργός μιλά από καθέδρας, αλλά οι πολίτες ζητούν ουσιαστικό διάλογο.",5 Dec
σαφήνεια,ясность,clarity,Οι πολίτες απαιτούν σαφήνεια στις κυβερνητικές ανακοινώσεις σχετικά με τα νέα μέτρα.,25 Sep
σαφής,"ясный, чёткий",clear,Ο πρωθυπουργός έστειλε σαφές μήνυμα προς τους εταίρους στη σύνοδο κορυφής.,25 Sep
ταυτοποίηση,идентификация,identification,Η ταυτοποίηση των θυμάτων ολοκληρώθηκε από τις αρμόδιες αρχές μετά από ημέρες.,Part 4
ταυτόσημος,тождественный по значению,identical in meaning,"Η ελευθερία δεν είναι ταυτόσημη με την ανευθυνότητα, υπενθυμίζει ο συνταγματολόγος.",7 Mar
ταυτόχρονα,одновременно,simultaneously,Η κυβέρνηση επιδιώκει ταυτόχρονα ανάπτυξη και δημοσιονομική πειθαρχία στη χώρα.,26 Dec
το νήμα,нить,thread,Οι ερευνητές ακολουθούν το νήμα της υπόθεσης που οδηγεί σε παράνομο δίκτυο.,25 Sep
---,Религия и философия,,,
ελληνιστής,эллинист,Hellenist,Ο διάσημος ελληνιστής παρουσίασε τη μελέτη του για την αρχαία φιλοσοφία στο συνέδριο της Αθήνας.,22 Dec
ελληνιστικός,эллинистический,Hellenistic,Η έκθεση αφιερωμένη στον ελληνιστικό πολιτισμό προσέλκυσε χιλιάδες επισκέπτες στο Εθνικό Μουσείο.,22 Dec
θρησκεία,религия,religion,"Σύμφωνα με νέα έρευνα, η θρησκεία εξακολουθεί να διαδραματίζει σημαντικό ρόλο στη δημόσια ζωή.",31 Oct
θρησκευτικός,религиозный,religious,Ο θρησκευτικός τουρισμός αυξήθηκε κατά 30% στα ελληνικά μοναστήρια τη φετινή χρονιά.,31 Oct
θρησκευόμενος,верующий,religious,Πλήθος θρησκευόμενων συμμετείχε στη λιτανεία του Αγίου Δημητρίου στη Θεσσαλονίκη.,23 Dec
πνευματικός,"духовный, интеллектуальный","spiritual, intellectual",Ο πνευματικός κόσμος της χώρας αντέδρασε έντονα στις αλλαγές του εκπαιδευτικού συστήματος.,13 Feb
πνεύμα,"дух, ум, интеллект","spirit, mind",Το πνεύμα συνεργασίας μεταξύ των κρατών-μελών κρίνεται απαραίτητο για την πρόοδο της ΕΕ.,13 Feb
αέναος,"вечный, бесконечный","eternal, perpetual",Η αέναος αναζήτηση της αλήθειας παραμένει θεμελιώδης αρχή της δημοσιογραφίας.,5 Dec
αγνός,чистый / непорочный,pure,Ο αγνός ενθουσιασμός των εθελοντών συγκίνησε τους κατοίκους των πληγεισών περιοχών.,21 Nov
αιώνια νιότη,вечная молодость,eternal youth,Ο μύθος της αιώνιας νιότης εξακολουθεί να τροφοδοτεί τη βιομηχανία ομορφιάς παγκοσμίως.,Γ2 exam
ανέκαθεν,с незапамятных времён,"always, since ever",Η Ελλάδα ανέκαθεν αποτελούσε σταυροδρόμι πολιτισμών στην Ανατολική Μεσόγειο.,22 Aug
ανοδική,восходящая,upward / rising,Η ανοδική τάση στον τουρισμό αντανακλά τη βελτιωμένη εικόνα της Ελλάδας στο εξωτερικό.,Γ2 exam
απέραντος,бескрайний,"vast, immense",Οι απέραντες εκτάσεις καμένης γης αποκαλύπτουν το μέγεθος της καταστροφής στη Βόρεια Εύβοια.,19 Aug
αφιερώθηκα,я посвятил(а) себя,I devoted myself,"Αφιερώθηκα στην έρευνα για τη βιώσιμη γεωργία, δηλώνει ο βραβευμένος επιστήμονας.",Γ2 exam
ειλικρινής φιλία,искренняя дружба,sincere friendship,Η ειλικρινής φιλία μεταξύ των δύο ηγετών συνέβαλε στην επίλυση της διπλωματικής κρίσης.,Ιστορία 19
εξαγνίζω,очищаю,to purify,Η κυβέρνηση επιχειρεί να εξαγνίσει τη δημόσια εικόνα της μετά το σκάνδαλο διαφθοράς.,21 Nov
εξομολογητικός,исповедальный,confessional,Το εξομολογητικό ύφος του βιβλίου προκάλεσε ευρεία συζήτηση στα λογοτεχνικά περιοδικά.,7 Oct
εξομολογούμαι,"исповедоваться, признаваться",to confess,Ο πρώην υπουργός εξομολογήθηκε δημόσια τα λάθη που έγιναν κατά τη διάρκεια της θητείας του.,7 Oct
ερημίτης,отшельник,hermit,Ένας ερημίτης μοναχός ζει επί δεκαετίες σε απομονωμένο κελί στο Άγιον Όρος.,9 May
εφόσον,поскольку / при условии,since / as long as,"Εφόσον πληρούνται οι προϋποθέσεις, οι δικαιούχοι θα λάβουν το επίδομα εντός δεκαημέρου.",13 May
θαρρώ,полагаю / думаю,I reckon,"Θαρρώ πως η κοινωνία χρειάζεται περισσότερο διάλογο και λιγότερη πόλωση, δήλωσε ο πρύτανης.",31 Oct
θεν / ανέκαθεν,с давних пор / всегда,since ever / always,Η περιοχή ανέκαθεν αποτελούσε πόλο έλξης για ερευνητές από ολόκληρο τον κόσμο.,27 Mar
κάκιστα,ужасно / крайне плохо,extremely badly,"Η κρίση διαχειρίστηκε κάκιστα, σύμφωνα με την έκθεση της ανεξάρτητης επιτροπής.",17 Dec
μοιρολατρία,фатализм,fatalism,Η μοιρολατρία δεν συμβαδίζει με τον ενεργό πολίτη που απαιτεί η σύγχρονη δημοκρατία.,7 Mar
νουθετώ,наставляю,advise,Οι παιδαγωγοί νουθετούν ότι ο διάλογος είναι αποτελεσματικότερος από την τιμωρία.,6 Jan
ο μυστικισμός,мистицизм,mysticism,Ο μυστικισμός της Ανατολής επηρέασε σημαντικά τα σύγχρονα φιλοσοφικά ρεύματα στην Ευρώπη.,7 Mar
ολοένα,"всё больше, непрестанно",increasingly,Οι πολίτες ολοένα και περισσότερο αμφισβητούν την αξιοπιστία των παραδοσιακών μέσων.,Γ2 exam
παραπλανητική διαφήμιση,вводящая в заблуждение реклама,misleading advertising,Πρόστιμο επιβλήθηκε σε εταιρεία για παραπλανητική διαφήμιση προϊόντος υγείας στην τηλεόραση.,Ιστορία 18
ράσο,ряса,priest's garment,Το ράσο του μοναχού αποτελεί σύμβολο πνευματικής αφιέρωσης στον ορθόδοξο μοναχισμό.,6 Jan
στηρίζομαι,опираюсь / полагаюсь,to rely on,Η ελληνική οικονομία στηρίζεται ολοένα περισσότερο στον τομέα των υπηρεσιών και του τουρισμού.,20 Dec
συγκρητισμός,синкретизм,syncretism,Ο θρησκευτικός συγκρητισμός αποτελεί αντικείμενο μελέτης στο νέο πρόγραμμα του πανεπιστημίου.,27 Jan
σφραγίδα,печать / штамп,stamp / seal,Η ψηφιακή σφραγίδα διασφαλίζει τη γνησιότητα των εγγράφων που εκδίδονται ηλεκτρονικά.,10 Mar
το ήθος,нравственность / этика,ethics,"Το ήθος της πολιτικής ζωής υποβαθμίζεται, σύμφωνα με δημοσκόπηση που διενεργήθηκε πρόσφατα.",12 Dec
έγκριση,"одобрение, утверждение",approval,Η έγκριση του νέου πολεοδομικού σχεδίου αναμένεται να δώσει ώθηση στις κατασκευές.,Γ2 exam
η έγκριση,одобрение,approval,Η έγκριση του νέου φαρμάκου από τον ΕΟΦ αναμένεται μέχρι το τέλος του μήνα.,9 Dec
μετασκευή,"переделка, конверсия",conversion,Η μετασκευή του παλιού εργοστασίου σε πολιτιστικό κέντρο θα ολοκληρωθεί το 2027.,23 Oct — σκευή
εκδράμω,совершаю прогулку,to go on a short trip,Χιλιάδες Αθηναίοι εξέδραμαν στον Παρνασσό κατά το τριήμερο της Καθαράς Δευτέρας.,6 Jan
εμπλουτίζω,обогащать,to enrich,Το υπουργείο Παιδείας εμπλουτίζει τα σχολικά προγράμματα με μαθήματα ψηφιακού γραμματισμού.,14 May
εμπλουτιζόμενη,обогащаемая,being enriched,Η εμπλουτιζόμενη ύλη του νέου εγχειριδίου περιλαμβάνει σύγχρονα παραδείγματα από τα ΜΜΕ.,Γ2 exam
αποπνίγω,подавлять / душить (перен.),to drown (figuratively),"Η γραφειοκρατία αποπνίγει τις μικρομεσαίες επιχειρήσεις, δηλώνουν εκπρόσωποι του κλάδου.",7 Mar
δοξασία,"вера, мнение","belief, opinion",Οι λαϊκές δοξασίες για την υγεία αντιμετωπίζονται κριτικά από τη σύγχρονη ιατρική.,16 Feb
εμπλουτισμένη,обогащённая,enriched,Η εμπλουτισμένη έκδοση του λεξικού περιλαμβάνει 15.000 νέα λήμματα από τη σύγχρονη γλώσσα.,Γ2 exam
εξουσιοδότηση,доверенность / полномочие,authorization,"Χωρίς γραπτή εξουσιοδότηση, οι πολίτες δεν μπορούν να παραλάβουν έγγραφα από τη δημόσια υπηρεσία.",20 Feb
εργαλεία επαλήθευσης,инструменты проверки,verification tools,Τα εργαλεία επαλήθευσης ειδήσεων γίνονται απαραίτητα στην εποχή της παραπληροφόρησης.,Ιστορία 37
ημιτελής,незавершённый,unfinished,Το ημιτελές έργο του μετρό θα αποπερατωθεί με χρηματοδότηση από ευρωπαϊκά κονδύλια.,23 Sep
σαφώς / σαφέστατα,ясно / совершенно ясно,clearly / very clearly,"Σαφέστατα χρειάζονται μεταρρυθμίσεις στο σύστημα υγείας, τόνισε ο υπουργός στη Βουλή.",25 Feb
τερματίζω,завершать,"to finish, shut down",Η κυβέρνηση τερματίζει το πρόγραμμα επιδοτήσεων λόγω δημοσιονομικών περιορισμών.,12 May
το αγαθό,"благо, ценность","good, product",Το νερό αποτελεί κοινό αγαθό και η πρόσβαση σε αυτό πρέπει να είναι καθολική.,7 Oct
---,Военное дело,,,
εκστρατεία ευαισθητοποίησης,кампания по повышению осведомлённости,awareness campaign,Εκστρατεία ευαισθητοποίησης για τα δικαιώματα των βετεράνων ξεκίνησε σε πανελλαδικό επίπεδο.,Ιστορία 44
εκστρατείας,кампании,campaign,Η εκστρατεία ενημέρωσης για τον καρκίνο του μαστού αγκαλιάστηκε από χιλιάδες εθελοντές.,Γ2 exam
ο στρατός,армия,army,Ο στρατός συνδράμει στις επιχειρήσεις αποκατάστασης μετά τις καταστροφικές πλημμύρες στη Θεσσαλία.,20 Dec
περιφρουρώ,"охранять, защищать","to guard, protect",Η αστυνομία περιφρουρεί τα σύνορα ενισχύοντας τα μέτρα ασφαλείας στη βόρεια Ελλάδα.,7 Oct
φρουρός,"охранник, стражник",guard,Ο φρουρός του κοινοβουλίου εντόπισε ύποπτο αντικείμενο στην είσοδο του κτιρίου.,7 Oct
προστατευόμενη περιοχή,охраняемая территория,protected area,Η προστατευόμενη περιοχή του Εθνικού Δρυμού απειλείται από παράνομες υλοτομίες.,13 Jan
προστατευόμενος,охраняемый,protected,Ο προστατευόμενος μάρτυρας κατέθεσε κρίσιμα στοιχεία στη δίκη κατά του εγκληματικού δικτύου.,13 Jan
προστατεύω,защищаю,to protect,Η κυβέρνηση δεσμεύεται να προστατεύει τα δικαιώματα των πολιτών σε κάθε περίσταση.,13 Jan
ανταμοιβή,награда,reward,Η ανταμοιβή των στρατιωτών που υπηρέτησαν σε επικίνδυνες αποστολές αυξάνεται σημαντικά.,3 Feb
εκκενώνω,эвакуировать / опустошать,to evacuate / empty,Οι αρχές εκκενώνουν τα χωριά κοντά στο μέτωπο της πυρκαγιάς για λόγους ασφαλείας.,7 Mar
εκπορθητής / εκπορθώ,завоеватель / завоёвываю,conqueror / to conquer,"Ο Μωάμεθ ο Πορθητής εκπόρθησε την Κωνσταντινούπολη, θέτοντας τέλος στη Βυζαντινή Αυτοκρατορία.",6 Jan
επιβράβευση,"поощрение, награда",reward,Η επιβράβευση της καινοτομίας αποτελεί προτεραιότητα για τη νέα αναπτυξιακή στρατηγική.,Γ2 exam
επιτίθεμαι,нападать,to attack,Η αντιπολίτευση επιτίθεται στην κυβέρνηση για την αδυναμία αντιμετώπισης της ακρίβειας.,27 Mar
η έδρα,"штаб-квартира, место","seat, headquarters",Η έδρα της νέας στρατιωτικής διοίκησης θα μεταφερθεί στη Λάρισα μέχρι το τέλος του έτους.,5 Dec
η επίθεση,нападение / атака,attack,Η επίθεση στη στρατιωτική βάση καταδικάστηκε απερίφραστα από τη διεθνή κοινότητα.,27 Mar
η καραβάνα,солдатский котелок,soldier's mess tin,Η καραβάνα ανθρωπιστικής βοήθειας κατευθύνεται προς τις πληγείσες περιοχές της χώρας.,16 Feb
καμπάνια / εκστρατεία,кампания,campaign,Η εκστρατεία ενημέρωσης για την εθνική άμυνα ξεκίνησε σε σχολεία σε όλη τη χώρα.,Part 4
κατακτητής / καρδιοκατακτητής,завоеватель / сердцеед,conqueror / heart stealer,Η ελληνική γαστρονομία λειτουργεί ως καρδιοκατακτητής τουριστών από όλο τον κόσμο.,7 Mar
κατακτώ / κατάκτηση,завоёвывать / завоевание,to conquer / conquest,Η κατάκτηση νέων εδαφών γνώσης αποτελεί προτεραιότητα για τις ένοπλες δυνάμεις.,17 Mar
καταπολέμηση,"борьба, противодействие","combating, fight",Η καταπολέμηση της φοροδιαφυγής αποτελεί κεντρικό στόχο του υπουργείου Οικονομικών.,Γ2 exam
μέτωπο,фронт,front (battle),Πυροσβέστες μάχονται σε τριπλό μέτωπο πυρκαγιάς στην Πελοπόννησο εδώ και τρεις ημέρες.,21 Aug
ναυαγοσώστης,спасатель,lifeguard,Ο ναυαγοσώστης έσωσε δύο κολυμβητές που παρασύρθηκαν από τα ισχυρά ρεύματα.,14 May
οπισθοδρομώ,деградировать / откатываться назад,to revert / go backwards,"Η χώρα οπισθοδρομεί στον τομέα της αμυντικής βιομηχανίας, προειδοποιούν αναλυτές.",3 Mar
οπλισμός / όπλο / οπλίτης,вооружение / оружие / воин,weaponry / weapon / soldier,Ο εκσυγχρονισμός του οπλισμού αποτελεί στρατηγική προτεραιότητα για τις ένοπλες δυνάμεις.,7 Mar
πηλίκιο,фуражка,military cap,Το πηλίκιο αποτελεί αναπόσπαστο μέρος της στρατιωτικής στολής στις εθνικές παρελάσεις.,30 May
πρώτη γραμμή του μετώπου,передовая линия фронта,front line,Οι πυροσβέστες στην πρώτη γραμμή του μετώπου δίνουν μάχη υπό αντίξοες συνθήκες.,21 Aug
